"permutations";"#UUIDs";"#classes";"#clone_configs"
"5_4_3_2_6_10_1_13_11_9_15_16_8_14_7_12";"11464";"5";"114"
"7_15_8_14_16_4_9_6_1_3_10_13_11_5_12_2";"11242";"5";"114"
"11_14_13_1_10_8_16_12_5_4_6_9_15_2_7_3";"11288";"5";"114"
"1_16_6_13_12_5_4_7_9_8_11_15_10_14_2_3";"11174";"5";"114"
"4_9_10_1_2_6_13_14_16_12_3_8_7_5_11_15";"11531";"6";"114"
"5_15_1_11_9_7_6_4_13_14_8_10_2_3_12_16";"11184";"5";"114"
"6_11_14_5_13_8_9_2_1_12_16_10_4_3_7_15";"11268";"5";"114"
"7_8_13_15_2_12_6_5_1_10_14_9_4_11_16_3";"11273";"5";"114"
"10_13_16_9_15_8_4_3_11_14_2_1_7_12_6_5";"11339";"5";"114"
"13_3_15_4_1_10_14_12_8_11_16_2_7_6_5_9";"11207";"5";"114"
"7_12_15_16_13_3_11_10_14_2_4_5_1_6_9_8";"11274";"5";"114"
"1_10_13_2_16_9_15_11_3_5_7_4_6_12_14_8";"11248";"5";"114"
"5_13_15_12_11_1_10_14_16_9_3_7_8_6_4_2";"11182";"5";"114"
"3_1_5_13_16_9_7_2_8_12_10_14_11_6_15_4";"11378";"5";"114"
"9_4_15_2_13_11_14_16_1_6_5_10_7_12_3_8";"11507";"6";"114"
"13_7_11_15_1_12_5_8_3_4_9_2_14_10_16_6";"11256";"5";"114"
"15_9_11_16_10_6_7_5_13_8_2_12_1_14_4_3";"11225";"5";"114"
"8_10_1_13_6_7_4_12_2_15_5_16_14_9_11_3";"11344";"6";"114"
"11_7_10_8_16_6_14_4_15_9_1_2_5_13_12_3";"11364";"5";"114"
"4_14_8_9_2_6_13_10_1_3_16_5_12_15_7_11";"11339";"5";"114"
"13_14_10_6_4_16_11_9_3_1_8_15_2_7_12_5";"11375";"5";"114"
"7_15_13_12_14_16_8_11_4_9_10_5_3_1_6_2";"11231";"5";"114"
