"permutations";"#UUIDs";"#classes";"#clone_configs"
"1_16_10_7";"9836";"0";"0"
"2_8_12_1";"11495";"0";"0"
"7_10_9_5_15_14_1_8_11_4_3_6_16_12";"12087";"2";"28"
"7_10_1_12_5_11_8_9_4_16_6";"12451";"2";"22"
"5_2_9_4_1_16";"12220";"2";"12"
"16_7_14_1";"9875";"0";"0"
"9_4_1_6_13";"12149";"2";"10"
"1_10_12_8";"11688";"0";"0"
"15_1_3_2_14";"12062";"2";"10"
"9_10_16_11_3_5_8_14_12_15_2_7_1";"12254";"2";"26"
"9_12_1_15_10";"11687";"0";"0"
"1_7_9_16_11_3_10_8";"12219";"2";"16"
"5_9_1_11_8_12_10_16_13";"12292";"2";"18"
"1_9";"7118";"0";"0"
"8_12_15_1_13_6_7_4_3_9";"11676";"2";"20"
"14_9_12_15_13_1_6_16";"11594";"0";"0"
"16_1_14_11_8_5_10_7_4_15_2_6_9_3_13";"12299";"2";"30"
"4_1";"10016";"1";"4"
"1_2_6_9";"9440";"0";"0"
"6_13_16_4_10_12_11_14_3_1_5";"12302";"2";"22"
"10_9_16_15_14_11_1_7_5_8_4_12_13";"12299";"2";"26"
"8_1_4_7_5_2";"11564";"2";"12"
"7_5_4_12_9_1_11";"11959";"2";"14"
"6_7_9_10_16_1_11_15_13_14_8_3";"12397";"2";"24"
"9_1_2_3_6_16_15_8_10_13_11_5";"12193";"2";"24"
"1";"6050";"0";"0"
"7_16_1_4_15";"12057";"2";"10"
"16_1_4";"11446";"2";"6"
"8_1";"8697";"0";"0"
"7_12_1";"11515";"0";"0"
"6_13_3_8_2_1_5_11";"11799";"2";"16"
"10_1";"7591";"0";"0"
"1_15";"9694";"0";"0"
"7_3_11_14_12_15_1_16_2_10_4_13";"12378";"2";"24"
"7_1_16_11_9_15_2_3_12_6_5_8_14_10_4";"12224";"2";"30"
"15_12_4_14_3_9_7_11_1_6_16_8_5";"12269";"2";"26"
"4_1_5_6_13_2_10";"11793";"1";"14"
"16_4_10_7_1_11_13_8_14_15";"12227";"2";"20"
"10_11_12_1_13";"11865";"2";"10"
"1_11_9_16_4_8_3_2";"11675";"2";"16"
"2_8_7_15_1_6_9_11";"11565";"2";"16"
"14_5_11_12_15_6_2_8_1_9_10_16";"12374";"2";"24"
"13_4_2_8_9_11_12_15_5_16_1";"12356";"2";"22"
"5_1_11_8_10_14_15_3";"12234";"2";"16"
"14_15_16_12_2_11_1_7_4_8_13_3_9";"12736";"2";"26"
"13_14_15_6_12_1";"11605";"0";"0"
"16_7_2_5_1_13_15_10_12_8_9_4_14";"12275";"2";"26"
"10_5_14_15_1_7_2_12_13";"11813";"0";"0"
"5_13_15_11_4_1_6_9_10_14_8_16_7_3_12";"12071";"2";"30"
"6_2_12_7_1_10_13";"11725";"0";"0"
"11_14_1_2_7_15_16_6";"11324";"1";"16"
"13_1_14_8_3";"11436";"2";"10"
"5_15_12_1_2_7_13";"11558";"0";"0"
"10_9_14_2_8_5_16_3_1_6_11_13";"12069";"2";"24"
"1";"6050";"0";"0"
"5_9_2_12_13_16_4_8_14_10_3_1";"12456";"2";"24"
"12_14_6_7_15_1";"11623";"0";"0"
