"permutations";"#UUIDs";"#classes";"#clone_configs"
"3_16_1_14_15";"11128";"5";"35"
"11_7_6_14_1_13_4_16_5_9";"11232";"5";"71"
"1";"6020";"2";"4"
"14_2_5_7_10_15_13_11_9_16_1_3_6";"11332";"5";"87"
"8_9_4_3_5_6_1_2_14_7_10_13_16_11";"11314";"6";"96"
"16_5_2_12_14_15_4_1_3_8_11_7_9_10_13";"11209";"5";"108"
"1_7_13_8_14_6_16_15_10";"9869";"3";"49"
"4_2_9_6_3_11_15_1";"11462";"6";"57"
"5_1_10_7_14_12_4_3_13";"11311";"5";"68"
"1_15_10_6_9_7_14_8_13_12_16_2_5";"11156";"5";"83"
"14_8_5_16_10_7_1_9";"9950";"3";"43"
"11_1_10_8";"11234";"5";"26"
"4_7_10_12_1_5_16_2_15";"11288";"5";"62"
"8_1_14_15_6_2_9_7_13_4_11_10_5";"11208";"5";"86"
"11_15_14_10_1_16_9";"11172";"5";"46"
"3_7_15_12_6_5_10_16_13_1_14_4";"11261";"5";"88"
"13_15_1";"9668";"3";"16"
"10_11_1_8_12_9_3_14";"11404";"5";"59"
"2_1";"6538";"2";"8"
"3_4_6_7_1_5_14_11";"11091";"5";"62"
"11_6_1_5_3";"10705";"5";"38"
"13_10_1_4_2_16_12_6";"11291";"5";"54"
"10_1_8_13_2_11_14_6_9_4_16_12";"11278";"6";"83"
"7_15_14_9_12_11_10_16_1";"11179";"5";"64"
"1";"6020";"2";"4"
"1_12_8_2_16_11";"11260";"5";"43"
"6_13_2_11_12_16_7_1_8_5_15";"11269";"5";"77"
"13_7_4_9_12_1_8_16_5_6";"11265";"5";"70"
"15_5_1_16_8_9_3_11_4_13_7_2";"11158";"5";"85"
"2_8_5_7_12_1";"11160";"5";"39"
"15_1_14";"9786";"3";"16"
"11_8_13_4_7_14_3_10_9_12_16_6_1_15";"11361";"5";"103"
"9_7_2_13_6_10_1_16_11_3_8_4_5_12_14";"11328";"5";"107"
"1_11_16_2_5_10_14_3_13_12";"11362";"5";"73"
"11_1_8_3";"11145";"5";"31"
"16_14_2_7_6_5_1_8_10_9_11_15";"11188";"5";"76"
