"permutations";"#UUIDs";"#classes";"#clone_configs"
"1_15_6_2";"22715";"1";"24"
"7_3_2_16_5_14_8_15_11_12_1";"23512";"1";"66"
"15_11_2_16_10_1_14_12_8_7_6";"23442";"1";"66"
"3_15_1_12_7_6_14";"23312";"1";"42"
"15_10_13_9_1_5_6_7_8";"23440";"1";"54"
"10_3_1_9_6_11_8_12_4";"23440";"1";"54"
"2_1_8";"21753";"1";"18"
"13_4_14_11_1_3_5";"23570";"1";"42"
"1";"19912";"1";"6"
"15_1_11";"22925";"1";"18"
"9_15_1";"21949";"1";"18"
"12_4_6_16_1_11";"23385";"1";"36"
"12_4_5_10_1_7_11_3_2_6_16_8_14_9";"23578";"1";"84"
"7_10_1";"22114";"1";"18"
"1_9_5_7_12_15_6_16_14_11_8_4_13_2";"23516";"1";"84"
"2_8_5_11_15_1";"23508";"1";"36"
"12_9_8_13_4_10_6_16_3_1_11_15";"23599";"1";"72"
"4_2_6_1_16_14_12_13_3_10_15_9";"23489";"1";"72"
"6_1";"21477";"1";"12"
"1_12_4_7";"23148";"1";"24"
"4_7_2_11_10_1_6_15";"23572";"1";"48"
"2_15_12_1_10_11_5_6_9_3";"23550";"1";"60"
"1_5_13_11_12_6_15";"23438";"1";"42"
"2_1_15";"21949";"1";"18"
"15_11_12_5_9_1";"23569";"1";"36"
"13_15_12_5_3_2_7_16_1_9_14";"23465";"1";"66"
"1_2";"20518";"1";"12"
"4_3_2_1_16_13_12_5_15_6";"23441";"1";"60"
"12_5_11_1_6_9_7_16";"23572";"1";"48"
"1";"19912";"1";"6"
"8_3_4_2_7_16_14_1_5";"22768";"1";"54"
"11_14_1_5_16_9_2_13_7_15_12_8";"23576";"1";"72"
"5_11_4_1_12_6_15_10_13_7_2";"23575";"1";"66"
"16_6_15_5_10_4_3_9_11_1";"23487";"1";"60"
"11_14_7_1_9_16";"23062";"1";"36"
"7_4_15_5_13_8_11_16_10_9_1_3";"23622";"1";"72"
"16_15_1";"21736";"1";"18"
